Catégorie : Toutes catégories

Semaine,udemy: (France),edx: (France)
2022-01-30,71,12
2022-02-06,79,16
2022-02-13,82,13
2022-02-20,71,11
2022-02-27,76,12
2022-03-06,72,10
2022-03-13,63,9
2022-03-20,71,15
2022-03-27,68,17
2022-04-03,73,13
2022-04-10,69,8
2022-04-17,79,15
2022-04-24,74,10
2022-05-01,77,10
2022-05-08,75,12
2022-05-15,75,8
2022-05-22,73,15
2022-05-29,83,7
2022-06-05,78,0
2022-06-12,75,13
2022-06-19,78,10
2022-06-26,85,14
2022-07-03,78,9
2022-07-10,78,13
2022-07-17,78,9
2022-07-24,67,13
2022-07-31,70,5
2022-08-07,69,7
2022-08-14,63,11
2022-08-21,74,15
2022-08-28,78,18
2022-09-04,77,13
2022-09-11,80,16
2022-09-18,100,13
2022-09-25,96,12
2022-10-02,85,7
2022-10-09,87,12
2022-10-16,97,12
2022-10-23,78,14
2022-10-30,88,13
2022-11-06,76,17
2022-11-13,87,10
2022-11-20,85,11
2022-11-27,77,9
2022-12-04,79,10
2022-12-11,77,9
2022-12-18,81,11
2022-12-25,87,10
2023-01-01,88,11
2023-01-08,99,16
2023-01-15,96,9
